日期,ndcg,mrr,kendall_tau_distance
2020-06-08,0.8888051904542158,0.2,0.38095238095238093
2020-06-09,0.9653437132824272,1.0,0.28205128205128205
2020-06-10,0.7942666842407646,0.25,0.3787878787878788
2020-06-11,0.908352220041118,0.16666666666666666,0.41904761904761906
2020-06-12,0.8581753158473246,0.07692307692307693,0.49166666666666664
2020-06-13,0.9412116609220005,1.0,0.4152046783625731
2020-06-14,0.9166491133090244,0.058823529411764705,0.41578947368421054
2020-06-15,0.9090120665101168,0.05555555555555555,0.39384615384615385
2020-06-16,0.8870501504489449,0.16666666666666666,0.3143939393939394
2020-06-17,0.8263043994133424,0.1,0.3793103448275862
2020-06-18,0.7872023559401353,0.2,0.3561253561253561
2020-06-19,0.8419513427317052,0.125,0.3548387096774194
2020-06-20,0.8297260140498552,0.3333333333333333,0.4367816091954023
2020-06-21,0.8433245492842858,0.3333333333333333,0.4150537634408602
2020-06-22,0.8434746178652703,0.3333333333333333,0.4318181818181818
2020-06-23,0.7658489078106916,0.07692307692307693,0.38475177304964536
2020-06-24,0.7905986226256455,0.05263157894736842,0.38220551378446116
2020-06-25,0.7796339452806247,0.058823529411764705,0.38571428571428573
2020-06-26,0.7232721380557033,0.02857142857142857,0.4716981132075472
2020-06-27,0.7893121144041172,0.05263157894736842,0.46464646464646464
2020-06-28,0.7746130263922539,0.02857142857142857,0.5365853658536586
2020-06-29,0.7814162005437264,0.0625,0.4306184012066365
2020-06-30,0.7678934365206623,0.07142857142857142,0.483265306122449
2020-07-01,0.7865657820889325,0.07142857142857142,0.4638009049773756
2020-07-02,0.808664504512289,0.022727272727272728,0.4477503628447025
2020-07-03,0.8164435828474667,0.02040816326530612,0.4355716878402904
2020-07-04,0.8177623179755195,0.02040816326530612,0.43834015195791937
2020-07-05,0.7344114665285569,0.03333333333333333,0.45084745762711864
2020-07-06,0.8117937267602946,0.019230769230769232,0.45848757271285034
2020-07-07,0.812028297805425,0.029411764705882353,0.44769140853302164
2020-07-08,0.8248215196081611,0.5,0.42054433713784023
2020-07-09,0.7776900543966919,0.1,0.4384920634920635
2020-07-10,0.8653514249581649,0.1,0.40165631469979296
2020-07-11,0.8756405610804312,0.05555555555555555,0.3273684210526316
2020-07-12,0.8462833836709902,0.1111111111111111,0.3990342405618964
2020-07-13,0.8301437394146824,0.25,0.40619520748100524
2020-07-14,0.8933868784092687,0.16666666666666666,0.3901689708141321
2020-07-15,0.8806136159529672,0.5,0.3887005649717514
2020-07-16,0.8402481190783591,0.14285714285714285,0.39536340852130325
2020-07-17,0.8020527270894777,0.07692307692307693,0.36152882205513787
2020-07-20,0.9308897738927516,1.0,0.38095238095238093
2020-07-21,0.863692336951629,0.06666666666666667,0.37104377104377106
2020-07-22,0.8560474783188295,0.07692307692307693,0.4
2020-07-24,0.786365211780753,0.14285714285714285,0.41855203619909503
2020-07-25,0.881227772876508,0.09090909090909091,0.4114552893045003
2020-07-26,0.8406578193385591,0.16666666666666666,0.41971153846153847
2020-07-27,0.8543593300694512,0.3333333333333333,0.4110576923076923
2020-07-28,0.8639686226912573,0.08333333333333333,0.40575396825396826
2020-07-29,0.9338538765640798,1.0,0.3983614951356887
2020-07-30,0.8849713221749294,1.0,0.3857982813206694
2020-07-31,0.8086059427713107,0.02564102564102564,0.4440532081377152
2020-08-01,0.8790839212320561,1.0,0.41474850809889174
2020-08-02,0.8590553713146561,0.02564102564102564,0.4062111801242236
2020-08-03,0.8511416581364506,0.2,0.4056338028169014
2020-08-04,0.9016983498677468,0.5,0.3865414710485133
2020-08-05,0.8975700264614879,0.025,0.405320813771518
2020-08-06,0.9100214708949523,1.0,0.40179968701095464
