日期,ndcg,mrr,kendall_tau_distance
2010-11-20,1.0,1.0,0.0
2010-11-22,1.0,0.3333333333333333,0.0
2010-11-23,0.9022723524999469,0.5,1.0
2010-11-24,1.0,1.0,0
2010-11-26,0.9958314318051994,0.5,0.16666666666666666
2010-11-27,1.0,1.0,0
2010-11-29,0.7609096232928764,0.5,1.0
2010-11-30,1.0,1.0,0
2010-12-03,0.8009188933478881,0.5,0.5
2010-12-06,0.9456425617361751,0.3333333333333333,0.6666666666666666
2010-12-09,0.9244831267314947,0.5,0.5
2010-12-11,0.7586889810899012,0.16666666666666666,0.6428571428571429
2010-12-13,0.9040244234276099,0.3333333333333333,0.3333333333333333
2010-12-14,0.9659158969623666,0.5,0.26666666666666666
2010-12-15,0.716693415614119,0.3333333333333333,1.0
2010-12-16,0.8776597185334206,0.5,0.6666666666666666
2010-12-17,0.8947055597657276,0.25,0.6
2010-12-18,0.8269666190368541,0.2,0.7
2010-12-20,1.0,0.3333333333333333,0.0
2010-12-23,0.8644407757662128,0.25,0.5
2010-12-24,0.7654029014927201,0.25,0.8333333333333334
2010-12-25,0.817082969138644,0.5,0.5
2010-12-27,0.6397107963329832,0.16666666666666666,0.8666666666666667
2010-12-28,0.6940179501008713,0.3333333333333333,0.6666666666666666
2010-12-29,0.581704523022949,0.2,0.8
2010-12-30,0.682526303087838,0.25,0.8
2010-12-31,0.6713957500740446,0.2,0.8
2011-01-05,0.7387937261200057,0.25,0.8333333333333334
2011-01-06,0.6849231210514894,0.2,0.9
2011-01-08,1.0,1.0,0.0
2011-01-10,0.951795944078636,0.5,0.3333333333333333
2011-01-11,0.7764716706809871,0.5,0.5
2011-01-12,0.7751196598478122,0.3333333333333333,0.5
2011-01-13,0.9022723524999469,0.5,1.0
2011-01-14,0.8219710837826979,0.5,1.0
2011-01-15,1.0,1.0,0
2011-01-17,1.0,1.0,0
2011-01-18,0.8249656151869054,0.3333333333333333,0.5
2011-01-19,0.821971083782698,0.5,1.0
2011-01-20,1.0,1.0,0.0
2011-01-21,0.8786746795305955,0.25,0.5
2011-01-22,0.9492666868476307,0.5,1.0
2011-01-24,1.0,0.5,0.0
2011-01-25,0.9390355484721847,0.25,0.6666666666666666
2011-01-26,0.84942976626793,0.2,0.5333333333333333
2011-01-27,0.8726335539466086,0.5,0.6666666666666666
2011-01-28,1.0,1.0,0
2011-01-30,1.0,1.0,0
2011-02-05,0.9022723524999469,0.5,1.0
2011-02-06,0.904918657080397,0.3333333333333333,0.6666666666666666
2011-02-11,0.7410097958265282,0.2,0.8
2011-02-12,0.7471074507388232,0.3333333333333333,0.7
2011-02-16,0.7609096232928764,0.5,1.0
2011-02-18,1.0,0.5,0.0
2011-02-21,0.8938010775833363,0.25,0.5
2011-02-23,0.8219710837826981,0.5,1.0
2011-02-24,0.7609096232928764,0.5,1.0
2011-02-25,0.7302937468156798,0.3333333333333333,0.5
2011-02-26,0.9373082574850009,0.2,0.6
2011-02-28,0.9355210327264599,0.16666666666666666,0.6
2011-03-01,0.7228086185592582,0.2,0.9
2011-03-02,0.9180289230991404,0.3333333333333333,0.6
2011-03-03,1.0,0.3333333333333333,0.0
2011-03-04,0.9502571167706569,0.16666666666666666,0.5333333333333333
2011-03-05,0.7120855711808224,0.25,0.6666666666666666
2011-03-09,0.9045761373949339,0.5,0.4444444444444444
2011-03-10,0.8263057276152991,0.2,0.7
2011-03-11,0.97746856276811,0.3333333333333333,0.2
2011-03-15,0.7162942568687843,0.2,0.8
2011-03-17,0.9087505932595957,0.5,0.3333333333333333
2011-03-18,0.8155549245992572,0.5,0.4666666666666667
2011-03-19,0.914423359318326,0.5,0.3333333333333333
2011-03-21,1.0,1.0,0
2011-03-23,1.0,1.0,0
2011-03-24,1.0,1.0,0.0
2011-03-25,0.6747471038086337,0.25,1.0
2011-03-26,1.0,1.0,0
2011-03-28,0.9492666868476307,0.5,1.0
2011-03-29,0.9161371312048125,0.25,0.2
2011-03-30,1.0,0.3333333333333333,0.0
2011-03-31,0.8413886105018791,0.5,0.6666666666666666
2011-04-01,0.9491316927056226,0.3333333333333333,0.6666666666666666
2011-04-02,1.0,0.5,0.0
2011-04-04,1.0,0.5,0.0
2011-04-06,1.0,1.0,0
2011-04-07,0.9456425617361753,0.3333333333333333,0.6666666666666666
2011-04-10,1.0,1.0,0
2011-04-11,0.751495163944602,0.25,0.8333333333333334
2011-04-12,0.7674675282696154,0.3333333333333333,1.0
2011-04-13,1.0,1.0,0.0
2011-04-15,0.821971083782698,0.5,1.0
2011-04-16,0.6269533071436723,0.3333333333333333,1.0
2011-04-18,0.7934521782259522,0.3333333333333333,1.0
2011-04-19,0.6518615453280049,0.25,1.0
2011-04-20,0.6887540941321975,0.3333333333333333,1.0
2011-04-21,0.7609096232928763,0.5,1.0
2011-04-22,0.6618665649577903,0.25,1.0
2011-04-24,1.0,1.0,0
2011-04-25,0.8616675048717559,0.3333333333333333,0.5
2011-04-26,1.0,1.0,0
2011-04-28,0.9751020464045863,0.3333333333333333,0.6666666666666666
2011-04-29,1.0,1.0,0.0
2011-05-03,0.7075443518649364,0.25,0.8333333333333334
2011-05-04,0.9492666868476309,0.5,1.0
2011-05-05,0.8981028311027246,0.3333333333333333,1.0
2011-05-06,0.8417348345791731,0.25,0.4
2011-05-09,0.7745418907642101,0.25,0.5333333333333333
2011-05-10,1.0,1.0,0
2011-05-11,0.8249656151869053,0.3333333333333333,0.5
2011-05-12,0.9933048555451319,0.5,0.2
2011-05-16,1.0,1.0,0
2011-05-18,1.0,1.0,0.0
