日期,ndcg,mrr,kendall_tau_distance
2016-07-05,0.9800097059553307,0.3333333333333333,0.10909090909090909
2016-07-06,0.890075122344423,0.1,0.325
2016-07-07,0.838341420302576,0.16666666666666666,0.39855072463768115
2016-07-08,0.8831567888920095,0.07692307692307693,0.3492063492063492
2016-07-09,0.8010157836312212,0.14285714285714285,0.35947712418300654
2016-07-10,0.8731110761110749,0.0625,0.3368421052631579
2016-07-11,0.8829528113166911,0.07142857142857142,0.2962962962962963
2016-07-12,0.8796098012838774,0.03571428571428571,0.3181818181818182
2016-07-13,0.9024010421437105,0.047619047619047616,0.29178743961352654
2016-07-14,0.8562407611462971,0.25,0.33024976873265494
2016-07-15,0.9230616404542025,1.0,0.3312368972746331
2016-07-16,0.8193244637568112,0.2,0.3770739064856712
2016-07-17,0.8953567896407869,0.023255813953488372,0.36574746008708275
2016-07-18,0.8943071113777129,0.05263157894736842,0.35586277521761395
2016-07-19,0.8844324748423475,0.14285714285714285,0.33143107989464443
2016-07-20,0.9248771824248597,0.0625,0.2554954954954955
2016-07-21,0.8967948389977141,0.16666666666666666,0.2774327122153209
2016-07-22,0.8389989314204797,0.25,0.3021746186303148
2016-07-23,0.8300342569717205,0.03571428571428571,0.3063063063063063
2016-07-24,0.8737235701349321,0.03225806451612903,0.3156843156843157
2016-07-25,0.9223163930788683,0.06666666666666667,0.2696528555431131
2016-07-26,0.8820761155705036,0.02,0.27773144286905754
2016-07-27,0.8627097895209994,0.022727272727272728,0.3281067556296914
2016-07-28,0.8803242910868423,0.015384615384615385,0.3187878787878788
2016-07-29,0.9320970454540414,1.0,0.2828282828282828
2016-07-30,0.8684725411334627,0.03571428571428571,0.2966150315547906
2016-07-31,0.8673375167920346,0.034482758620689655,0.3045143638850889
2016-08-01,0.8997510108126869,1.0,0.30433848797250856
2016-08-02,0.9313184757675497,0.3333333333333333,0.24731182795698925
2016-08-03,0.8647643496349725,0.06666666666666667,0.2453889334402566
2016-08-04,0.8816008513722942,0.1,0.2384137601528906
2016-08-05,0.9265265677505107,0.25,0.22091310751104565
2016-08-06,0.8789408326017926,0.25,0.25413826679649465
2016-08-08,0.8934796819732927,0.2,0.24405239240844695
2016-08-09,0.9045514680230313,0.5,0.24451754385964913
2016-08-10,0.8771959550166551,0.030303030303030304,0.24733824733824733
2016-08-11,0.8678608513562555,0.047619047619047616,0.26463963963963966
2016-08-12,0.8722076292951839,0.07692307692307693,0.24533233756534728
2016-08-13,0.8882221123970406,0.125,0.2821040258595357
2016-08-14,0.8905041628921962,0.058823529411764705,0.28504828504828505
2016-08-15,0.9016088709959843,0.030303030303030304,0.2638322655794991
2016-08-16,0.856758708439099,0.02564102564102564,0.2824095637323397
2016-08-17,0.9204928370230036,0.5,0.2710415761263219
2016-08-18,0.8880710946711227,0.14285714285714285,0.2857142857142857
2016-08-19,0.8558612108011118,0.017543859649122806,0.3160826594788859
2016-08-20,0.9022651940270459,0.012048192771084338,0.32636765205572543
2016-08-22,0.9172754744069895,0.011363636363636364,0.32277596646483464
2016-08-23,0.8521832211398974,0.045454545454545456,0.3013923013923014
2016-08-24,0.8974772982663232,0.030303030303030304,0.3085995085995086
2016-08-25,0.8872671584555092,0.1,0.28940783986655544
2016-08-26,0.9513942824672104,1.0,0.2655172413793103
2016-08-27,0.9136628654823734,0.1,0.29897107357794606
2016-08-28,0.9116926528773178,0.25,0.2946887492861222
2016-08-29,0.9221624311550208,0.16666666666666666,0.29077040427154843
2016-08-30,0.9117897564991219,0.09090909090909091,0.25409323834520686
2016-08-31,0.9454092508933236,0.02631578947368421,0.2784734645199761
2016-09-01,0.904701315899868,0.024390243902439025,0.32727272727272727
2016-09-02,0.9130158762046441,0.5,0.3427301587301587
2016-09-03,0.8994953665781469,0.5,0.3545248567239771
2016-09-04,0.885504858526885,0.16666666666666666,0.35883014623172105
2016-09-05,0.8717815437531962,0.08333333333333333,0.3357664233576642
2016-09-06,0.848613695574452,0.08333333333333333,0.31315552891819
2016-09-07,0.8626906142512435,0.25,0.2982522437411431
2016-09-08,0.8613302119341287,0.027777777777777776,0.3086056644880174
2016-09-09,0.8647806661426145,0.030303030303030304,0.31377777777777777
2016-09-10,0.8515285682806782,0.037037037037037035,0.32079889807162537
2016-09-11,0.8849107087723708,0.01098901098901099,0.3242296918767507
2016-09-12,0.8102879594231954,0.058823529411764705,0.3073521282476506
2016-09-13,0.8160581368911457,0.08333333333333333,0.3149264783666561
2016-09-14,0.9118329463486641,1.0,0.30848025214222397
2016-09-15,0.9447044320956813,0.5,0.2934143870314083
2016-09-16,0.912830486955183,0.08333333333333333,0.2804025719876992
2016-09-17,0.8688804757887643,0.07692307692307693,0.2959770114942529
2016-09-18,0.8558299660636712,0.125,0.29673119644557283
2016-09-19,0.9480527467017437,0.2,0.27240618101545255
2016-09-20,0.9132561874418795,0.08333333333333333,0.2837584950261007
2016-09-21,0.9076670705703979,0.1111111111111111,0.2965056526207605
2016-09-22,0.9148168755289183,0.038461538461538464,0.30775862068965515
2016-09-23,0.9006544713611371,0.015625,0.30986590038314177
2016-09-24,0.9046633566906772,1.0,0.29578488372093026
2016-09-25,0.8426711693420789,0.07692307692307693,0.30377906976744184
2016-09-26,0.9247294575969534,0.25,0.26291597720169146
2016-09-27,0.8870682079316928,0.045454545454545456,0.2668693009118541
2016-09-28,0.8801842181184403,0.038461538461538464,0.28061002178649236
2016-09-29,0.8836788787446286,0.05,0.27128148556719983
2016-09-30,0.9009238728376908,0.07142857142857142,0.2811480756686236
